,Unnamed: 0,Unnamed: 0.1,country,date,confirmed,deaths,recovered,latitude,longitude,confirmed_log
23,23,23,Chile,2020-03-22 00:00:00+00:00,632,1,8,-35.675147,-71.542969,6.450470422144176
24,24,24,China,2020-03-22 00:00:00+00:00,76516,3210,67549,35.86166,104.195397,11.24526821734915
25,25,25,Colombia,2020-03-22 00:00:00+00:00,231,2,3,4.570868,-74.297333,5.44673737166631
26,26,27,Costa Rica,2020-03-22 00:00:00+00:00,134,2,2,9.748917,-83.753428,4.90527477843843
27,27,28,Croatia,2020-03-22 00:00:00+00:00,254,1,5,45.1,15.2,5.541263545158426
28,28,29,Cuba,2020-03-22 00:00:00+00:00,35,1,0,21.521757,-77.78116700000002,3.58351893845611
29,29,30,Cyprus,2020-03-22 00:00:00+00:00,95,1,3,35.126413,33.429859,4.564348191467836
30,30,32,Denmark,2020-03-22 00:00:00+00:00,1514,13,1,56.26392,9.501785,7.323170717943469
31,31,33,Dominica,2020-03-22 00:00:00+00:00,1,0,0,15.414999,-61.370976,0.6931471805599453
32,32,34,Dominican Republic,2020-03-22 00:00:00+00:00,202,3,0,18.735693,-70.162651,5.313205979041787
33,33,36,Ecuador,2020-03-22 00:00:00+00:00,789,14,3,-1.831239,-78.183406,6.672032945461067
34,34,37,Egypt,2020-03-22 00:00:00+00:00,327,14,56,26.820553000000004,30.802498,5.793013608384143
35,35,38,Estonia,2020-03-22 00:00:00+00:00,326,0,2,58.595272,25.013607,5.7899601708972535
36,36,40,Ethiopia,2020-03-22 00:00:00+00:00,11,0,4,9.145,40.489673,2.4849066497880004
37,37,41,Fiji,2020-03-22 00:00:00+00:00,2,0,0,-16.578193,179.414413,1.0986122886681098
38,38,42,Finland,2020-03-22 00:00:00+00:00,626,1,10,61.92411,25.748151,6.440946540632922
39,39,43,France,2020-03-22 00:00:00+00:00,16018,674,2200,46.227638,2.213749,9.681530796701486
40,40,44,Gabon,2020-03-22 00:00:00+00:00,5,1,0,-0.803689,11.609444,1.791759469228055
41,41,45,Georgia,2020-03-22 00:00:00+00:00,54,0,3,42.315407,43.356892,4.007333185232471
42,42,46,Germany,2020-03-22 00:00:00+00:00,24873,94,266,51.165691,10.451526,10.121578360213684
